,_id,metadata.location,metadata.language,answers.nationality,answers.age,answers.sex,answers.hearing_impairments,answers.personality.trusting,answers.personality.artistic,answers.personality.imagination,answers.personality.reserved,answers.personality.outgoing,answers.personality.lazy,answers.personality.stress,answers.personality.nervous,answers.personality.fault,answers.personality.thorough,answers.musical_expertise,answers.concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,answers.dob,answers.musical_background,answers.visual_impairments,control_chillsshiversthrills,song_chillsshiversthrills,control_transcendence,control_sadness,control_wonder,control_joyfulactivation,control_tenderness,control_peacefulness,control_nostalgia,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song,answers.musicpref.dance,answers.musicpref.rock,answers.musicpref.jazz,answers.musicpref.pop,answers.musicpref.classical,answers.musicpref.hiphop,answers.musicpref.folk,answers.musicpref.traditional_irish,answers.musicpref.hip_hop,answers.musicpref.world
570eb77983a73509d0e03979,570eb77983a73509d0e03979,taipei_city,en,taiwanese,16.0,female,False,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,4.0,False,3,3,3,2,3,3,-1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,1,1,0,0,0
570eb7a983a73509d0e04847,570eb7a983a73509d0e04847,taipei_city,en,taiwanese,14.0,male,False,4.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3,5.0,False,2,5,4,5,2,4,-1,3.0,4.0,4.0,4.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb73283a73509d0e021e5,570eb73283a73509d0e021e5,taipei_city,en,taiwanese,19.0,male,False,2.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,3,5.0,False,4,4,4,4,3,3,-1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb79483a73509d0e041b3,570eb79483a73509d0e041b3,taipei_city,zh_TW,taiwanese,19.0,female,False,4.0,1.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,2.0,3,4.0,False,4,2,3,2,3,2,-1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
570eb78d83a73509d0e03faf,570eb78d83a73509d0e03faf,taipei_city,zh_TW,taiwanese,23.0,female,False,4.0,1.0,3.0,4.0,2.0,5.0,1.0,5.0,3.0,2.0,2,2.0,False,3,3,3,2,2,3,-1,3.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,1,0,0,0
570eb74283a73509d0e0275d,570eb74283a73509d0e0275d,taipei_city,zh_TW,taiwanese,10.0,male,False,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2,4.0,False,2,1,2,2,1,1,-1,5.0,4.0,5.0,5.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,1,0,0,0,0,0
570eb78a83a73509d0e03eb9,570eb78a83a73509d0e03eb9,taipei_city,en,taiwanese,13.0,female,False,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2,4.0,False,1,5,5,5,1,5,-1,1.0,5.0,5.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,1,0,0,0,0,1
570eb7ba83a73509d0e04daf,570eb7ba83a73509d0e04daf,taipei_city,en,taiwanese,17.0,female,False,4.0,1.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,3,5.0,False,3,5,4,4,4,4,-1,4.0,5.0,5.0,5.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,1,0,0,1,0,0,0,0,0,0
570eb76e83a73509d0e035eb,570eb76e83a73509d0e035eb,taipei_city,en,taiwanese,20.0,male,False,4.0,1.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,5.0,1,4.0,False,2,4,4,4,3,4,-1,4.0,2.0,4.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
570eb76583a73509d0e032c0,570eb76583a73509d0e032c0,taipei_city,en,taiwanese,13.0,male,False,5.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0,4.0,4.0,5,5.0,False,5,5,5,5,5,5,-1,5.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,1,0,0,0,0,0
570eb72283a73509d0e01c94,570eb72283a73509d0e01c94,taipei_city,en,taiwanese,11.0,female,False,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3,4.0,False,4,3,3,2,2,3,-1,4.0,5.0,4.0,5.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb74183a73509d0e026af,570eb74183a73509d0e026af,taipei_city,zh_TW,taiwanese,14.0,male,False,3.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2,4.0,False,5,2,3,2,3,3,-1,2.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb79683a73509d0e04236,570eb79683a73509d0e04236,taipei_city,en,taiwanese,41.0,female,False,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,1,3.0,False,1,3,3,4,3,3,-1,3.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,1
570eb79d83a73509d0e044ac,570eb79d83a73509d0e044ac,taipei_city,en,taiwanese,26.0,male,False,2.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3,5.0,False,3,1,3,4,2,2,-1,5.0,5.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,into_dust,1,1,0,1,1,1,0,0,0,0
570eb76c83a73509d0e03564,570eb76c83a73509d0e03564,taipei_city,en,taiwanese,14.0,female,False,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4,5.0,False,1,1,1,2,1,1,-1,5.0,5.0,5.0,5.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,0,1,0,0,0,0,0
570eb75383a73509d0e02cdd,570eb75383a73509d0e02cdd,taipei_city,en,taiwanese,9.0,female,False,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,4.0,False,3,4,4,3,3,3,-1,3.0,5.0,5.0,5.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb74a83a73509d0e029c4,570eb74a83a73509d0e029c4,taichung_city,en,taiwanese,12.0,male,False,4.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,2,4.0,False,2,5,4,4,4,3,-1,2.0,5.0,5.0,4.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb75783a73509d0e02e2f,570eb75783a73509d0e02e2f,taichung_city,en,taiwanese,18.0,female,False,4.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,3,4.0,False,3,4,4,4,3,4,-1,3.0,4.0,4.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
570eb75b83a73509d0e02fae,570eb75b83a73509d0e02fae,taichung_city,en,taiwanese,20.0,male,False,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4,4.0,False,5,4,4,3,3,3,-1,2.0,5.0,5.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,1,0,0,0,0
570eb7af83a73509d0e049d4,570eb7af83a73509d0e049d4,taichung_city,en,taiwanese,17.0,male,False,3.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,1,2.0,False,4,3,4,2,2,3,-1,2.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
570eb78883a73509d0e03dec,570eb78883a73509d0e03dec,taichung_city,en,taiwanese,16.0,male,False,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,2.0,1.0,2,4.0,False,2,1,2,2,1,2,-1,5.0,5.0,5.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,1,1,1,0,0,0,0,0
570eb7b883a73509d0e04cda,570eb7b883a73509d0e04cda,taichung_city,en,taiwanese,28.0,male,False,4.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,3,5.0,False,2,1,2,3,2,2,-1,1.0,5.0,5.0,5.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb73a83a73509d0e024c0,570eb73a83a73509d0e024c0,taichung_city,en,taiwanese,18.0,male,False,5.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3,4.0,False,2,2,3,3,2,3,-1,2.0,4.0,4.0,5.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,1,0,0,0,0
570eb7be83a73509d0e04eda,570eb7be83a73509d0e04eda,taichung_city,en,taiwanese,20.0,female,False,4.0,2.0,5.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,2,3.0,False,4,3,3,1,2,4,-1,4.0,4.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
570eb73783a73509d0e02393,570eb73783a73509d0e02393,taichung_city,en,taiwanese,19.0,male,False,4.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3,3.0,False,3,4,2,3,3,4,-1,3.0,4.0,4.0,4.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,into_dust,0,1,0,1,1,0,0,0,0,0
570eb78383a73509d0e03cac,570eb78383a73509d0e03cac,taichung_city,en,taiwanese,19.0,male,False,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3,4.0,False,3,3,2,2,3,4,-1,4.0,5.0,5.0,4.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
541102af08ad6ee3090e665f,541102af08ad6ee3090e665f,dublin,,irish,21.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,3.0,4.0,3.0,3.0,1.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
541102b108ad6ee3090e667d,541102b108ad6ee3090e667d,dublin,,other,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,5.0,3.0,4.0,3.0,3.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
5411036108ad6ee3090e68e7,5411036108ad6ee3090e68e7,dublin,,irish,61.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,3.0,3.0,3.0,1.0,1950-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,0,0,1,0,0
5411041008ad6ee3090e6b57,5411041008ad6ee3090e6b57,dublin,,other,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,3.0,4.0,2.0,1.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,1,0
5411051808ad6ee3090e6f1f,5411051808ad6ee3090e6f1f,dublin,,irish,41.0,female,False,,,,,,,,,,,,,False,,,,,,,,,1.0,5.0,1.0,2.0,1.0,3.0,1970-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411059908ad6ee3090e70f4,5411059908ad6ee3090e70f4,dublin,,irish,21.0,female,False,,,,,,,,,,,,,False,,,,,,,,,3.0,5.0,3.0,5.0,3.0,3.0,1990-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,0,1,0
541106b808ad6ee3090e7540,541106b808ad6ee3090e7540,dublin,,irish,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,3.0,2.0,2.0,2.0,3.0,1980-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,1,0,0,1,1,1
5411076e08ad6ee3090e7782,5411076e08ad6ee3090e7782,dublin,,irish,51.0,male,False,,,,,,,,,,,,,False,,,,,,,,,1.0,4.0,1.0,2.0,1.0,4.0,1960-01-01,,,,4.0,,,,,,,,,,,,,,,into_dust,1,1,0,0,1,0,0,0,1,1
5411076e08ad6ee3090e7785,5411076e08ad6ee3090e7785,dublin,,other,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,4.0,3.0,3.0,2.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,1,1,0,0,0,0,0,1
5410f69408ad6ee3090e3881,5410f69408ad6ee3090e3881,dublin,,irish,41.0,male,True,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,3.0,3.0,3.0,3.0,1970-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
5410f69608ad6ee3090e38a4,5410f69608ad6ee3090e38a4,dublin,,irish,21.0,female,False,,,,,,,,,,,,,False,,,,,,,,,1.0,4.0,2.0,4.0,2.0,4.0,1990-01-01,,,,3.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,0
5410f7b408ad6ee3090e3d19,5410f7b408ad6ee3090e3d19,dublin,,other,61.0,female,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,4.0,4.0,3.0,1.0,1950-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,1,1,0,0,0,0,0,0
5410f91208ad6ee3090e41cc,5410f91208ad6ee3090e41cc,dublin,,other,21.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,5.0,2.0,1.0,2.0,4.0,1990-01-01,,,,4.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,1,0,0,0,1,1
5410f95308ad6ee3090e42c5,5410f95308ad6ee3090e42c5,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,4.0,4.0,3.0,2.0,3.0,1.0,1970-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,1,1,1,0,0,0,1,1
5410f95408ad6ee3090e42d1,5410f95408ad6ee3090e42d1,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,4.0,3.0,4.0,4.0,3.0,3.0,1970-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,0,0,0,0,0,0,0
5410f9f908ad6ee3090e4555,5410f9f908ad6ee3090e4555,dublin,,irish,31.0,female,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,2.0,4.0,4.0,1.0,1980-01-01,,,,3.0,,,,,,,,,,,,,,,into_dust,0,1,1,1,1,0,0,1,0,1
5410fab008ad6ee3090e47ed,5410fab008ad6ee3090e47ed,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,3.0,3.0,4.0,3.0,1.0,1970-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,1,0
5410fc0608ad6ee3090e4d07,5410fc0608ad6ee3090e4d07,dublin,,irish,51.0,male,False,,,,,,,,,,,,,False,,,,,,,,,1.0,5.0,1.0,4.0,1.0,1.0,1960-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,1,0,0,0,0,1,0,1
5410fc0808ad6ee3090e4d27,5410fc0808ad6ee3090e4d27,dublin,,irish,11.0,male,False,,,,,,,,,,,,,False,,,,,,,,,1.0,5.0,1.0,1.0,1.0,1.0,2000-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,1,1,1,0,0,0,0,1
5410fc0908ad6ee3090e4d30,5410fc0908ad6ee3090e4d30,dublin,,other,71.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,4.0,2.0,4.0,2.0,3.0,1940-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,1,0,0
5410fc0908ad6ee3090e4d38,5410fc0908ad6ee3090e4d38,dublin,,irish,21.0,female,False,,,,,,,,,,,,,False,,,,,,,,,1.0,4.0,1.0,5.0,2.0,3.0,1990-01-01,,,,3.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5410fc0908ad6ee3090e4d3f,5410fc0908ad6ee3090e4d3f,dublin,,other,31.0,female,False,,,,,,,,,,,,,False,,,,,,,,,3.0,4.0,1.0,4.0,4.0,1.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5410fcb908ad6ee3090e4fcb,5410fcb908ad6ee3090e4fcb,dublin,,irish,31.0,male,False,,,,,,,,,,,,,False,,,,,,,,,3.0,3.0,3.0,3.0,4.0,3.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,0,1,0,0,1,1,0
5410fcb908ad6ee3090e4fcf,5410fcb908ad6ee3090e4fcf,dublin,,irish,41.0,female,False,,,,,,,,,,,,,False,,,,,,,,,1.0,3.0,3.0,5.0,4.0,1.0,1970-01-01,,,,4.0,,,,,,,,,,,,,,,into_dust,0,0,0,0,0,0,0,1,0,0
5410fd5d08ad6ee3090e5231,5410fd5d08ad6ee3090e5231,dublin,,other,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,5.0,1.0,5.0,2.0,4.0,1970-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,1,0,0,0,0,0,0,0
5410fd5d08ad6ee3090e5238,5410fd5d08ad6ee3090e5238,dublin,,irish,41.0,male,True,,,,,,,,,,,,,False,,,,,,,,,2.0,4.0,3.0,5.0,4.0,4.0,1970-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,1,0,0,0,0,1
5410fda408ad6ee3090e5333,5410fda408ad6ee3090e5333,dublin,,other,21.0,female,False,,,,,,,,,,,,,False,,,,,,,,,4.0,5.0,1.0,3.0,2.0,4.0,1990-01-01,,,,4.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
5410fda508ad6ee3090e5341,5410fda508ad6ee3090e5341,dublin,,irish,31.0,female,False,,,,,,,,,,,,,False,,,,,,,,,2.0,5.0,2.0,4.0,2.0,1.0,1980-01-01,,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,1,1
5410fda608ad6ee3090e5350,5410fda608ad6ee3090e5350,dublin,,other,31.0,female,False,,,,,,,,,,,,,False,,,,,,,,,1.0,4.0,2.0,3.0,3.0,1.0,1980-01-01,,,,3.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,1
5410fda708ad6ee3090e5360,5410fda708ad6ee3090e5360,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,5.0,1.0,4.0,1.0,1.0,1970-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,1,0
5410fe3b08ad6ee3090e5585,5410fe3b08ad6ee3090e5585,dublin,,irish,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,4.0,4.0,4.0,4.0,3.0,1.0,1970-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,1,0,0,0,0,0,0,0,0,0
5410fec908ad6ee3090e57aa,5410fec908ad6ee3090e57aa,dublin,,other,41.0,male,False,,,,,,,,,,,,,False,,,,,,,,,2.0,4.0,2.0,3.0,3.0,1.0,1970-01-01,,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,1
5410ffd908ad6ee3090e5b98,5410ffd908ad6ee3090e5b98,dublin,,irish,57.0,male,False,,,,,,,,,,,1,,False,,,,,,,,,3.0,3.0,5.0,3.0,4.0,3.0,1954-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,1,1,1,0,0,1,0,0
5411005f08ad6ee3090e5db1,5411005f08ad6ee3090e5db1,dublin,,irish,49.0,female,False,,,,,,,,,,,3,,False,,,,,,,,,4.0,4.0,3.0,4.0,3.0,3.0,1962-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
5411006008ad6ee3090e5dbc,5411006008ad6ee3090e5dbc,dublin,,other,27.0,female,False,,,,,,,,,,,3,,False,,,,,,,,,4.0,3.0,2.0,4.0,3.0,1.0,1984-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5411006008ad6ee3090e5dc0,5411006008ad6ee3090e5dc0,dublin,,other,50.0,male,False,,,,,,,,,,,1,,False,,,,,,,,,3.0,3.0,3.0,2.0,2.0,2.0,1961-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
5411015508ad6ee3090e6162,5411015508ad6ee3090e6162,dublin,,irish,51.0,female,False,,,,,,,,,,,2,,False,,,,,,,,,3.0,3.0,2.0,4.0,2.0,1.0,1960-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,0,0,0,0,0
5411015708ad6ee3090e617c,5411015708ad6ee3090e617c,dublin,,irish,37.0,male,False,,,,,,,,,,,3,,False,,,,,,,,,1.0,4.0,3.0,3.0,4.0,4.0,1974-01-01,False,,,2.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,0,1
541101b808ad6ee3090e62e4,541101b808ad6ee3090e62e4,dublin,,other,23.0,female,False,,,,,,,,,,,3,,False,,,,,,,,,1.0,5.0,1.0,4.0,3.0,1.0,1988-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,1,1,0,1,1,0,0,0,1,1
5411031108ad6ee3090e67f3,5411031108ad6ee3090e67f3,dublin,,irish,12.0,female,False,,,,,,,,,,,2,,False,,,,,,,,,2.0,4.0,1.0,1.0,2.0,4.0,1999-01-01,True,,,3.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,0,0,0,0,0,0
541103e208ad6ee3090e6ac5,541103e208ad6ee3090e6ac5,dublin,,irish,9.0,female,False,,,,,,,,,,,2,,False,,,,,,,,,4.0,5.0,4.0,5.0,2.0,1.0,2002-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,1,0,0,1,0,0,0,0,0,0
5411047808ad6ee3090e6cdf,5411047808ad6ee3090e6cdf,dublin,,other,23.0,male,False,,,,,,,,,,,4,,False,,,,,,,,,3.0,5.0,3.0,4.0,3.0,3.0,1988-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,0,0,1,1,0,0,0,0,1
541104c108ad6ee3090e6de3,541104c108ad6ee3090e6de3,dublin,,irish,54.0,male,False,,,,,,,,,,,2,,False,,,,,,,,,5.0,2.0,5.0,5.0,5.0,1.0,1957-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
541104c208ad6ee3090e6ded,541104c208ad6ee3090e6ded,dublin,,other,26.0,male,False,,,,,,,,,,,2,,False,,,,,,,,,4.0,5.0,2.0,4.0,3.0,1.0,1985-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,1,0,0,0,0,0
541104c308ad6ee3090e6dfb,541104c308ad6ee3090e6dfb,dublin,,irish,24.0,male,False,,,,,,,,,,,3,,False,,,,,,,,,2.0,4.0,3.0,4.0,3.0,1.0,1987-01-01,True,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,1,0,0,0,0,0,0
5411054d08ad6ee3090e6fed,5411054d08ad6ee3090e6fed,dublin,,irish,51.0,female,False,,,,,,,,,,,4,,False,,,,,,,,,2.0,4.0,1.0,1.0,1.0,1.0,1960-01-01,True,,,3.0,,,,,,,,,,,,,,,into_dust,0,0,1,0,1,0,0,1,0,1
5411054e08ad6ee3090e6ff3,5411054e08ad6ee3090e6ff3,dublin,,irish,63.0,male,False,,,,,,,,,,,2,,False,,,,,,,,,2.0,4.0,3.0,4.0,3.0,3.0,1948-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,1,0,0,0,1,0,0,1,0,0
541105e008ad6ee3090e720f,541105e008ad6ee3090e720f,dublin,,irish,12.0,male,False,,,,,,,,,,,2,,False,,,,,,,,,3.0,3.0,3.0,5.0,3.0,1.0,1999-01-01,False,,,1.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
541105e008ad6ee3090e7218,541105e008ad6ee3090e7218,dublin,,irish,21.0,male,False,,,,,,,,,,,2,,False,,,,,,,,,3.0,2.0,2.0,2.0,2.0,3.0,1990-01-01,False,,,2.0,,,,,,,,,,,,,,,into_dust,0,1,0,0,0,0,0,0,0,0
5410f71408ad6ee3090e3aca,5410f71408ad6ee3090e3aca,dublin,,irish,25.0,male,False,,,,,,,,,,,3,,False,,,,,,,,3.0,,1.0,,,,,1986-01-01,True,,,,,,,,,,,3.0,3.0,4.0,2.0,3.0,4.0,4.0,into_dust,1,1,0,1,0,0,0,0,0,1
5410f8d908ad6ee3090e4117,5410f8d908ad6ee3090e4117,dublin,,irish,25.0,female,False,,,,,,,,,,,3,,False,,,,,,,,2.0,,1.0,,,,,1986-01-01,False,,,,,,,,,,,4.0,4.0,4.0,1.0,3.0,5.0,3.0,into_dust,0,1,0,1,0,0,0,0,0,0
5410f8da08ad6ee3090e4134,5410f8da08ad6ee3090e4134,dublin,,irish,41.0,female,False,,,,,,,,,,,1,,False,,,,,,,,1.0,,1.0,,,,,1970-01-01,False,,,,,,,,,,,3.0,1.0,4.0,3.0,4.0,3.0,2.0,into_dust,0,0,0,1,0,0,0,0,0,0
5410f93408ad6ee3090e426f,5410f93408ad6ee3090e426f,dublin,,irish,43.0,female,False,,,,,,,,,,,3,,False,,,,,,,,2.0,,1.0,,,,,1968-01-01,False,,,,,,,,,,,2.0,3.0,4.0,1.0,4.0,4.0,3.0,into_dust,1,1,1,1,1,0,0,1,0,0
5410fa8808ad6ee3090e4771,5410fa8808ad6ee3090e4771,dublin,,irish,34.0,male,False,,,,,,,,,,,2,,False,,,,,,,,4.0,,3.0,,,,,1977-01-01,False,,,,,,,,,,,2.0,2.0,3.0,2.0,4.0,2.0,4.0,into_dust,1,1,0,1,0,0,0,1,0,0
5410fea008ad6ee3090e571b,5410fea008ad6ee3090e571b,dublin,,other,39.0,male,False,,,,,,,,,,,1,,False,,,,,,,,2.0,,1.0,,,,,1972-01-01,False,,,,,,,,,,,3.0,3.0,3.0,1.0,4.0,3.0,4.0,into_dust,1,1,0,1,1,0,0,0,0,1
5410ff2d08ad6ee3090e5949,5410ff2d08ad6ee3090e5949,dublin,,irish,27.0,male,False,,,,,,,,,,,4,,False,,,,,,,,4.0,,1.0,,,,,1984-01-01,True,,,,,,,,,,,4.0,5.0,5.0,1.0,4.0,4.0,4.0,into_dust,0,1,0,0,0,0,0,0,0,0
5411020c08ad6ee3090e6446,5411020c08ad6ee3090e6446,dublin,,irish,24.0,female,False,,,,,,,,,,,3,,False,,,,,,,,,,,,,,,1987-01-01,True,,,,,,,,,,,,,,,,,,into_dust,1,1,0,1,0,0,0,0,0,0
